trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
504,0.4795918367,14,0.2276909869,0.9583333333
505,0,0,0,0
506,0.6355140187,25,0.1593553902,0.525
507,0.5444444444,17,0.669998959,0.475
508,0.4672897196,17,0.2733826721,0.5916666667
509,0,1,0,0.1
510,0.5,1,0,0.07142857143
511,0.48,4,0.5575181443,0.4237288136
512,0.55,21,0.469029251,0.7333333333
513,0.5630252101,18,0.2732464761,0.2916666667
514,0.5833333333,1,0,0.04761904762
515,0.4634146341,12,0.2515501418,0.9
516,0.5227272727,16,0.1893251404,0.8
517,0.5333333333,4,0.1671521667,0.3333333333
518,0.5,11,0.2965420643,0.825
519,0.4444444444,5,0.03870879501,0.35
520,0.5,0,0,0
521,0.5714285714,5,0.1532339571,0.09166666667
522,0.6666666667,2,0.1402072481,0.3888888889
523,0,0,0,0
524,0.6057692308,29,0.3142173615,0.9666666667
525,0,0,0,0
526,0.5321100917,13,0.169363212,0.2333333333
527,0.4646464646,9,0.2941521915,0.8833333333
528,0.5,7,0.4014975462,0.6333333333
529,0.5046728972,12,0.2149137942,0.7416666667
530,0.5263157895,10,0.2932258783,0.6083333333
531,0.75,2,0,0.1230769231
532,0.4814814815,9,0.255362793,0.8255813953
533,0.5263157895,3,0,0.05882352941
534,0,1,0,0.1
535,0.5094339623,11,0.5201310246,0.746031746
536,0.5,9,0.4699165275,0.35
537,0.5,5,0.4726421996,0.6285714286
538,0.4705882353,2,0.4167234874,0.07246376812
539,0,0,0,0
540,0.5,5,0.5966384517,0.47
541,0,0,0,0
542,0,3,0.3839124551,0.6315789474
543,0.5416666667,7,0.197279575,0.3703703704
544,0.6,5,1.300732698,0.95
545,0.5247524752,13,0.206754136,0.8666666667
546,0.5378151261,19,0.1666220443,0.425
547,0.5625,21,0.1927868796,0.425
548,0.4666666667,13,0.4603478415,0.5
549,0,1,0,0.04166666667
550,0,1,0,0.5
551,0.525862069,22,0.5596363959,0.9416666667
552,0.5338983051,27,0.1939066688,0.8166666667
553,0.5294117647,6,0.0852547702,0.1690140845
554,0,0,0,0
555,0.3076923077,4,0.1675319462,0.5294117647
556,0,0,0,0
557,0.5,3,0.1021107802,0.2272727273
558,0,1,0,0.4545454545
559,0.75,7,0.324452226,0.8307692308
560,0.4,5,0.4776971384,0.7419354839
561,0,0,0,0
562,0,0,0,0
563,0,2,0,0.75
